entertainment n.娱乐（活动）；招待
revise v.修改，修订（书刊等）；复习；改变（意见等）
ultimate adj.最终的；终极的；根本的
spiral adj.螺旋形的
charm n.吸引力，魅力；挂坠，符咒
cable n.缆绳；钢索；电缆；电报；有线电视
perish v.死亡；毁灭；老化
strike v.击；打；撞击；攻击；突然想到；罢工；划火柴
involve v.包含，需要；牵涉；使参与
reference n.引文；引用资料；提及；参考；推荐信
correspondent n.记者，通讯员
autumn n.秋季，秋天
complicated adj.复杂的，难懂的
implicit adj.含蓄的；内含的；绝对的
indication n.标志；迹象
if conj.如果；是否；即使；每当
percent adj.每一百中
logical adj.（符合）逻辑的；合理的
suitable adj.合适的；适宜的
main adj.主要的，最重要的
meadow n.草地；牧场
conception n.构思；概念；受孕
course n.课程；进程；航线；对策；一道（菜）
ditch v.抛弃，丢弃；在海上迫降
card n.卡片；硬纸片；贺卡；纸牌
unfold v.展现（思想，信息）；（使）展开，打开
hail v.赞扬；招手（叫出租车）；下冰雹；打招呼；出生于
topic n.题目；话题
loosen v.（使）松散，松开；（使）放松；（使）变弱
various adj.各种各样的
avert v.防止，避免；转移（目光、注意力等）
award n.奖金，奖品；授予
verbal adj.口头的；动词的；用言辞的
approval n.批准；同意；赞赏
plough n.犁
sculpture n.雕像（作品）；雕刻术
lot pron.许多
warn v.警告；提醒
follow v.跟随；在…之后发生或做；沿着（道路等）；遵循（建议等）；追随；持续关注
skate v.滑冰；滑滑板
kitchen n.厨房
across adv.从一边到另一边；在对面
found v.创办；兴建；把…基于
censorship n.审查（制度）
material n.原料；材料；素材
automatic adj.自动的；无意识的，不假思索的
custom n.习俗；个人习惯
blunder v.愚蠢的错误；误入（困境）
destiny n.命运
eight num.八
chimney n.烟囱；（岩石间的）狭缝
wagon n.运货车；四轮马车（或牛车）；货车车厢
theft n.盗窃（罪）
portable adj.便携的；手提式的
bureaucracy n.官僚主义；官僚作风；官僚体制
municipal adj.市政的，地方政府的
glow v.发出微光；发红发热；喜形于色
bail n.保释（金）
pile n.摞，沓；成堆的东西；大量
deed n.行为；契约；证书
impress v.使钦佩；使铭记；使留下印象
threaten v.威胁；危及；构成威胁
through prep.穿过；自始至终；通过；凭借
toss v.（轻轻地）扔，抛，掷；掷硬币决定；（使）摇摆，颠簸
meaning n.意思；意义
punctual adj.准时的，正点的
expansion n.扩大；扩充
excellent adj.优秀的，极好的
maneuver n.策略；精巧的移动；军事演习
recognition n.认出；承认，认可；赞誉
meditate v.冥想，沉思；暗自策划；考虑
propagate v.传播；宣传；（使）繁殖
feast n.盛宴；宗教节日；使人快乐的事物
rot n.腐烂；恶化
recur v.再发生，反复出现
forward adj.向前的；前进的；未来的
expansion n.扩大；扩充
excellent adj.优秀的，极好的
maneuver n.策略；精巧的移动；军事演习
recognition n.认出；承认，认可；赞誉
meditate v.冥想，沉思；暗自策划；考虑
propagate v.传播；宣传；（使）繁殖
feast n.盛宴；宗教节日；使人快乐的事物
rot n.腐烂；恶化
recur v.再发生，反复出现
forward adj.向前的；前进的；未来的
voice n.声音，嗓音；发言权；意见
community n.社区；团体；一群人；共同体；群落
context n.背景，环境；上下文
summit n.最高点，顶峰；峰会
plot n.阴谋；情节；小块土地
hello int.你好，您好
robust adj.强健的；结实的；坚定的
resolute adj.坚决的；有决心的
peculiar adj.奇怪的；特别的，独特的
occurrence n.发生（的事）；发生频率
gather v.聚集；收集（情报），采集（植物）；收割；推断；增加（速度、力量）
musician n.音乐家
irrespective adj.不顾的；不考虑的
composite n.合成物，混合物；复合建筑材料
fly v.飞行；驾驶（飞机等）；快速移动；飞逝；（旗）飘扬
sensible adj.明智的；合理的；意识到的
person n.人，个人
renaissance n.复兴，再生；文艺复兴（时期）
madam n.夫人；女士；老鸨
panorama n.（环绕观察者的）全景；综述；全貌
technician n.技术员，专家
copper n.铜
stance n.观点，立场；（体育运动的）站姿
erode v.侵蚀；腐蚀；损害；削弱
theory n.学说，理论；原理；看法
past adj.过去的
react v.作出反应
kneel v.跪
appear v.似乎；出现；起源；演出
warm adj.温暖的；保温的；热心的
target n.目标；对象；靶子
twin adj.孪生之一的；双重的
fluid n.流体，液体
vote n.选票；投票；投票总数；投票结果；投票权
tomb n.坟墓
living room phrase.客厅，起居室
offer n.报价；主动提议；录取通知书
predominant adj.显著的；盛行的；占主导地位的
assassinate v.暗杀；刺杀
span n.持续时间；范围；宽度；跨度
magazine n.杂志；弹匣
by prep.靠近；由于；不迟于；经过；在…期间；从…看；以…的名义
staff n.全体职员；全体教员
politics n.政治；权术；政治观点；政治学
think v.认为；想；思考；料到
vanish v.消失；灭亡
humor n.幽默；感觉，心情
suspend v.悬，挂；暂停；延缓；使停职
accordingly adv.因此，从而；相应地，照着（办）
author n.作者，作家
rigid adj.死板的；固执的；僵直的；过于严厉的
paper n.纸；报纸；试卷；论文；文件
wine n.葡萄酒；果酒
verdict n.裁决，判决；（经过思考后的）意见
eyesight n.视力
Internet n.互联网
prison n.监狱；关押
molecule n.分子
captain n.舰长，机长；队长；上尉
dislike v.不喜欢
harbor n.海港；避难所
within adv.在内部，在里面
cool adj.凉爽的；冷静的；冷漠的；酷的；很棒的
themselves pron.他们自己，她们自己，它们自己
refine v.精炼；改进，完善
exclusive adj.独占的；独家的；排外的；排斥的；高档的
cereal n.谷类食物，谷物；麦片
fellow adj.同类的，同情况的
buzz v.发出嗡嗡声；闹哄哄；（飞机）飞近
withstand v.经受，承受；顶住
outcome n.结果，效果
coalition n.联合，联盟；联合政府
innumerable adj.数不清的
your det.你的；你们的
mind n.头脑；思维方式；心思
whistle n.哨子（声），口哨（声）；汽笛（声）
analytic adj.分析的；解析的
sick adj.生病的；恶心的；厌烦的
league n.联盟；体育联赛；级别
stick v.刺；粘贴；钉住；放置；伸出；忍受；使停留
pleasant adj.令人愉快的；友善的
surround v.环绕；使包围；与…紧密相关
permeate v.扩散，弥漫；渗透
magic n.魔法；魔术；魔力
gang n.（青少年）帮派；一群人
recruit v.招募；动员
latter adj.后者的；晚期的，后面的
trip n.旅游，出行
brochure n.小册子
restrain v.抑制；限制，阻止
not adv.不；没有
literacy n.识字；有读写能力
aunt n.阿姨，姑妈，伯母，舅妈
policewoman n.女警察
heroin n.海洛因
tell v.告诉；讲述；辨别
say v.说，表达
hair n.毛发；头发
actual adj.真实的，实际的
medal n.奖章，勋章
winter n.冬天
country n.国家；地区；乡村（音乐）；国民
visual adj.视觉的
that det.那，那个
stall v.停顿；熄火；抛锚；拖延；搁置
distract v.使分心，转移（注意力）
convenience n.便利，方便；便利设备
former adj.以前的；曾当过…的；（两者中）前者的
prosperous adj.兴旺的，富足的
turbulent adj.动荡的，混乱的；汹涌的；（人）骚动的
bring v.带来；提供；导致
gentleman n.绅士；先生
hunt v.打猎，猎杀；搜寻；追捕
culprit n.罪犯；引起问题的事物
mankind n.人类
risk n.危险；风险（因素或人）；保险对象
inject v.注射；增加；使充满；插入
wire n.电线；金属丝；铁丝网；电报
tissue n.组织；纸巾
poster n.海报
part n.部分；成员；零部件；区域；角色
enterprise n.企业；（重大）计划；进取心
orange n.橙子，柑橘；橙汁；橘黄色
apartment n.公寓套房；（民宅的）房间
coherent adj.连贯的；有条理的
patch n.小块；补丁；眼罩；膏药
journey n.旅行，旅程
prayer n.祈祷；祷文；企盼的事
yell v.叫喊，吼叫
bow v.鞠躬；低头，点头
humorous adj.有幽默感的
plateau n.高原；稳定期
unite v.联合，团结，统一
frustrate v.使沮丧，使懊恼；阻止，挫败
tennis n.网球
spokesman n.发言人
pass n.及格；通行证；传球；关口
stool n.凳子
create v.创造，创作；造成，引起
flight n.航班；飞行；逃避
interface n.界面；接口
conspicuous adj.惹人注目的，显眼的
negative adj.坏的，有害的；消极的；否定的
fashion n.时尚，流行式样
mere adj.仅仅，只不过；单单的
outward adj.表面的；外出的；向外的
snatch v.一把抓起；抢夺；抓紧时间做
abundant adj.大量的；丰富的；充足的
eighty num.八十
define v.下定义；阐明；确定界线
resume v.重新开始；继续；恢复
spicy adj.辛辣的；加香料的；刺激的
guess n.猜测，猜想
grocer n.食品杂货商
elastic adj.有弹性的；灵活的
curve n.曲线，弧线
jolly adj.欢乐的，令人愉快的
snap v.断裂；咬；拍照；突然失控
bunch n.束；扎；串；大量；大批；一伙人
helmet n.头盔，防护帽
daylight n.日光
instruct v.指示；教授；告知
farmer n.农场主；农夫
patience n.耐心，忍耐力；毅力
weapon n.武器；手段
dentist n.牙医；牙科诊所
abdomen n.腹部
home adj.家庭的；家用的；本国的；（比赛）主场的
approach v.靠近，接近；处理；与…接洽
poet n.诗人
oil n.油
cradle n.摇篮；发源地；吊篮
territory n.领土；领域
safeguard v.保护，保障，捍卫
plentiful adj.大量的，充足的
end n.终结；尽头；结束，结局；目标
bowl n.碗；一碗（的量）；碗状
crisis n.危急时刻；危机
trigger n.起因，诱因；触发器；扳机
flock n.（动物）群；一大群
rocket n.火箭；焰火
chest n.胸部；大箱子
finance v.为（个人，企业）供给资金
purify v.使纯净；精炼
recession n.经济衰退（期）；后退
supreme adj.（地位）至高无上的；最大的
circular adj.圆形的，环形的；循环的
pedestrian adj.行人的；徒步的；乏味的
passion n.激情；酷爱的事物
instead adv.代替，反而，顶替
hell n.地狱；苦难的经历
ritual n.宗教仪式，典礼；习俗
little adj.小的；年纪小的；时间短的
mould n.霉；模子；个性，风格
plus prep.加上；和，以及
pond n.池塘
kilometre n.千米；公里
here adv.向这里；在这一点上
below adv.在（到）下面；零度以下；下级地
nevertheless adv.尽管如此，然而
X-ray n.X射线，X光
privacy n.隐私；私人空间
when adv.什么时候；在那时
sincere adj.诚挚的；诚实的
align v.成一直线；使一致；与…结盟
specialize v.专门研究（或从事）
overt adj.公开的，明显的
cliff n.悬崖，峭壁
ethic n.道德规范，伦理；伦理学
tendency n.趋势；习惯
refugee n.逃亡者；难民
assumption n.假定；臆断；担任（职责等）
clothing n.服装
political adj.政治的；政党的
cat n.猫，猫科动物
lecture n.讲座；演讲；讲课
personality n.个性；魅力；名人；特色
dictionary n.词典
subjective adj.个人的；主观的；主语的
pace n.速度；节奏；步幅
they pron.他们；她们；它们
charity n.慈善（事业）；慈善（机构）
crucial adj.至关重要的；决定性的
innovation n.革新；新方法；新产品
jar n.罐子；一罐；缸；撞击
resource n.财力；资源
centigrade n.摄氏度
depth n.深度；深厚；渊博；深渊
gross adj.总的；粗略的；严重的；令人恶心的
maiden n.少女，处女，未婚女子
its pron.它的
scout v.侦察，搜寻；物色
locate v.确定…的位置；把…建在；定居；位于
peasant n.农民，佃农
fan n.风扇；扇子；狂热爱好者
mosaic n.马赛克，镶嵌画
yes int.是的
asleep adj.睡着的
economical adj.经济实惠的；精打细算的
cocaine n.可卡因
screen n.屏幕；影视；屏风；屏障；纱窗（门）；（医疗）检查；滤网
bearing n.影响，关系；方位；轴承；举止
where adv.在哪里，在那里，到哪里
doll n.洋娃娃；玩偶
rake n.耙子；耙状工具
education n.教育
uncle n.叔叔；伯父；姨夫；姑父
frontier n.边境，边界；知识前沿
whatsoever adv.任何
startle v.惊吓，使吓一跳
relative adj.相对的；关于的
temper n.脾气；心情；怒气
credit n.信用；赞誉；学分；津贴；收到的款项；信贷
military adj.军人的；军事的
forehead n.额头；前额
ambitious adj.有野心的；费力的
navy n.海军；深蓝色
influenza n.流感
difficulty n.困难；难度；困境
look v.看；寻找；注意；看起来好像
kid n.小孩；年轻人
hit n.击中；成功；点击量；受欢迎的人或事
afford v.承担得起；提供；给予
stun v.使震惊；使发愣；使印象深刻
mess n.脏乱；凌乱；困境；邋遢的人
heritage n.遗产；传统
future adj.将来的，未来的
chairperson n.主席；会长
fabulous adj.绝妙的；巨大的；寓言式的
big adj.大的；重大的；有影响力的
salad n.沙拉
reduce v.减少，缩小；（使）蒸发；（通过节食）减重
uncover v.揭发；揭开
owl n.猫头鹰；机警的人；夜猫子
gently adv.温柔地；温和地
artistic adj.艺术的，有艺术天赋的
tragedy n.悲剧；悲惨事件，灾难
ample adj.足够的，充裕的；丰满的
elementary adj.最基础的；基本的，初级的
island n.岛
keep v.保持；保留；继续；使耽搁；饲养
supplement v.补充，增补
precision n.精确（性）
alienate v.排斥，使疏远；使格格不入
canteen n.食堂；水壶；餐具盒
tropical adj.热带的
utter adj.完全的，彻底的
transaction n.交易，业务；（业务）办理
tend v.倾向于；往往会；照料；招待；处理
foresee v.预见，预知
knee n.膝盖；膝部
example n.例子；榜样
ruler n.统治者；尺子
maid n.女仆；少女
succession n.一连串；更迭；继任（权）
elevate v.提拔；使升高；举起；振奋
Catholic n.天主教徒
ladder n.梯子；阶梯；抽丝
pearl n.珍珠
communicate v.交流，沟通；传达；传播（疾病）
convey v.传达（思想、感情）；传送，输送
broadcast n.广播节目，电视节目
reign n.统治；支配；（君主）在位期；任期
tuck v.把…塞进；把…盖住或裹紧
porcelain n.瓷（器）
hinge n.铰链；合叶
encyclopedia n.百科全书
everything pron.每件事；一切
property n.所有物，财产；房地产；特性
water n.水，水域，水面；海域
friendly adj.友好的；亲切的；好用的
protein n.蛋白质
swell v.肿胀；鼓起；充满；（使数量等）增加；（声音）变响亮
mode n.方式；模式；状态；风格
interference n.干涉，介入；干扰
smile n.微笑，笑容
prudent adj.谨慎的，慎重的，精明的
farm n.农场；牧场
dependent adj.依赖的；取决于…的；有瘾的
recede v.渐渐远去；逐渐减弱；变秃
executive adj.行政的；执行的；高级的
exception n.例外
post v.邮寄；张贴；发布；派驻
restrict v.限制；束缚；约束
calculate v.计算；预测，推测
salt n.盐，食盐
seem v.似乎；恐怕
urban adj.城市的
latent adj.潜在的，潜伏的
apparent adj.显而易见的；表面上的；明显的
conservative adj.保守的；（英国）保守党的
delicious adj.美味的；宜人的
premise n.前提；假定
floor n.地板，地面；（山谷或海洋的）底；楼层
slow adj.缓慢的；慢速的；迟钝的；冷清的
month n.月；月份；一个月的时间
whatever pron.任何；一切事物；无论什么
publication n.出版（物）；发表，刊登
satellite n.（人造）卫星
reluctant adj.不情愿的，勉强的
design n.设计；构思；花纹；意图
conversion n.变换；（信仰）改变；改建
photo n.照片
monopoly n.垄断；垄断企业；独占
rotten adj.腐烂的；恶劣的；腐败的
tuition n.学费；教学，指导
avenue n.林荫道；大街；途径
clear adj.晴朗的；明净的；清晰易懂的
round adj.圆的；球形的；弧形的；整数的
judicial adj.司法的，审判的；法庭的
raise v.提升；举起；筹集；引起；抚养；培育
he pron.他，它（指雄性动物）
fancy v.喜欢，想要；爱慕；认为
dense adj.密集的；浓厚的，浓密的；愚笨的
less adv.较少，较小
administer v.管理；治理；实施；给药
erosion n.腐蚀，侵蚀；削弱，降低
tough adj.艰苦的；严厉的；坚韧不拔的；彪悍的；坚固的；困难的
such det.这样的；类似的；如此的
dome n.穹顶，圆屋顶；穹顶建筑物
intact adj.完好无损的，完整的
prejudice n.偏见，成见
recycle v.回收利用；重新使用
emergency n.紧急情况；突发事件
cripple v.使跛；使残疾；严重损害
loyalty n.忠诚，忠心
unload v.卸（货）；抛售；取出；推卸责任
flee v.逃离，迅速离开
texture n.质地，口感；（艺术的）和谐感
intend v.想要；打算；准备；意指
role n.作用；职能；角色
usual adj.通常的，惯常的
silly adj.愚蠢的；可笑的
explore v.探索，研究；考察，探险；仔细检查
so-called adj.所谓的；号称的
connect v.连接；接通；沟通；联结
absence n.缺席；不存在，缺乏
fruitful adj.多产的；富有成效的
teacher n.教师
spectator n.观众
yard n.院子；场地；码（长度单位）
amount n.数量；金额；一笔钱
aloud adv.出声地，大声地
sibling n.兄，弟，姐，妹
poke v.戳，刺，捅，伸出，探出
lunar adj.月球的；月亮的；阴历的
employment n.职业；就业；雇用；使用
supermarket n.超市
youngster n.年轻人；儿童
smuggle v.偷运，走私
shark n.鲨鱼；骗子
while conj.当…的时候；尽管，然而
stare n.凝视
exposure n.暴露；经历；揭露；曝光
knit v.编织；接合
attribute v.把…归因于；认为是…所为
torch n.火炬；手电筒
extract v.拔出；提取；摘录；设法得到
disease n.病，疾病；弊端
cart n.运货马车；手推车
impression n.印象
excuse n.借口；（正当的）理由；假条
condemn v.谴责；判处
true adj.真正的；的确；忠实的
save conj.除了
juvenile adj.青少年的；幼稚的；（动物）幼小的
slot n.窄缝；位置，时段；老虎机
inhibit v.阻止；妨碍；抑制；使拘束
fare n.公共交通费
dairy adj.牛奶的，奶制的
Monday n.星期一
learn v.学习，学会；得知
precise adj.精确的；一丝不苟的
temporal adj.世俗的；时间的；太阳穴的
finger n.手指
escape v.逃跑；摆脱；避免；被忽视；泄漏
starve v.使（挨饿），饿死；使匮乏，使急需
frighten v.使惊吓，使惊恐
hand n.手；帮助；指针；影响
differ v.不同，相异；持不同意见
space n.空间；太空；空白；大片空地
marriage n.婚姻，结婚；婚礼
bleed v.流血；榨取；放掉，泻出
adapt v.（使）适应；改编
bathroom n.浴室，卫生间
culture n.文化，文明；养殖，培育
prior adj.先前的；优先的；在前面的
salvation n.拯救；救星
minor adj.较小的，轻微的，次要的
secure adj.安全的；安心的；牢固的
pillow n.枕头
shoot v.射杀；发射；打猎；拍摄；投篮
resign v.辞职；使顺从
inward adj.内心的；精神的；向内的
land n.土地；陆地；地产；地区
interpret v.解释；领会；口译
retain v.保持，保留
spectrum n.光谱；波谱；（大）范围
hydrogen n.氢
contradict v.反驳；相抵触
augment v.扩大，增加，提高
attention n.注意；关注；特别照料
send v.邮寄，发送；传达；派遣
gramme n.克
owner n.主人，物主
sea n.海；大量
sun n.太阳，恒星；阳光
intercourse n.性交；交往，交流
precedent n.前例，范例
criticize v.批评，评论
pledge v.保证，承诺；抵押
tempo n.速度，节奏
dead adj.死的；不运行的
net n.网，网状物；因特网
opt v.选择；挑选
woman n.女性；妇女
renew v.重新开始；延长；更换
dangerous adj.有危险的，引起危险的
metropolitan adj.大城市的；本土的
star n.星，恒星；星级；明星；主角
chief adj.主要的；首席的
in prep.在…某一点；在…中；进入
banquet n.宴会，盛宴
offset v.抵消，弥补
finally adv.终于；最后；彻底
bound adj.必然的；到…去的；受…约束的
neighbor n.邻居；邻国
native adj.本土的；出生地的；天生的
optimistic adj.乐观（主义）的
apparatus n.仪器，装置；机关
war n.战争；对抗；长期斗争
moral adj.道德（上）的；有道德观念的
sustain v.保持；支持；支撑；认可
hire v.租借；雇佣
deliberate adj.故意的；从容不迫的
expense n.花费，开支，代价
applicable adj.适当的，适用的
duck n.鸭子；鸭肉
total adj.总的；全部的；完全的
shelf n.架子；暗礁，陆架
balance n.平衡，均衡；天平；余额；镇定；结欠款
educate v.教育；训练；培训
smash v.打碎，摔碎；（使）猛烈撞击；打败
racket n.喧哗（声）；诈骗；球拍
birthday n.生日
female adj.雌性的，女性的
cite v.引用；提及；传唤
also adv.也，同样，此外，而且
prime adj.首要的；典型的；优质的
lifetime n.一生；（事物的）使用期
palace n.宫殿；王室
individual adj.个人的；单个的，单独的
great adj.（数量或程度）大的；重大的；伟大的；极好的
compromise n.（达成）妥协；折中方案
giggle v.咯咯地笑；傻笑
grade n.级别；成绩；年级
doctor n.医生；博士
surprise n.惊奇；意想不到的事情
watch v.观看，观察；看护；当心
intervene v.插手；插嘴，打断；阻碍；介于…之间
pioneer n.先驱；创始人；倡导者
superfluous adj.过剩的，多余的
forum n.论坛；公共集会场所
demographic adj.人口学的；人口结构的
junior adj.（职位、级别）低的；青少年的
oriental adj.东方的
cheque n.支票
pear n.梨
spacecraft n.宇宙飞船
standard adj.标准的；符合标准的；规范的
few adj.很少，几个
nonetheless adv.尽管如此，依然
nationality n.国籍；民族
thesis n.论题，命题；毕业（或学位）论文
emigrate v.移居，移民至国外
oath n.誓言，誓约
oar n.船桨；桨
industrial adj.工业的
nice adj.令人愉快的，美好的
princess n.公主；王妃
stability n.稳定；稳固
forgive v.原谅；免除（债务）
paragraph n.段落
prospective adj.有可能的，潜在的；即将发生的
elaborate adj.复杂的；详尽的；精心设计的
housework n.家务活
zoo n.动物园
find v.发现，找到；研究发现；判决
bible n.圣经
bowling n.保龄球
diet n.日常饮食；规定饮食
subordinate adj.隶属的，从属的；次要的
fake n.赝品；冒充者
trifle n.琐事；小物件；稍微
expire v.（期限）终止，失效；到期；届满；逝世
worst adj.最差的，最坏的
cyberspace n.网络空间
audience n.观众，听众，读者；爱好者；会见
headmaster n.校长
vest n.背心；汗衫；马甲
accessory n.附件；帮凶；配饰
mayor n.市长
sphere n.球体，球形；范围，领域
stage n.时期，阶段；步骤；舞台
heap n.（一）堆；大量
must mod. v.必须，一定，应该
bowel n.肠；深处，内部
mood n.心情，情绪；坏心情；气氛
strawberry n.草莓
stairway n.楼梯，阶梯
organization n.机构；组织；安排；条理
subtle adj.微妙的；难以描述的；精妙的
illness n.疾病；患病期
size n.大小；大规模；尺码
panda n.（大）熊猫
wife n.妻子
nourish v.抚养；培养；助长
priest n.牧师；神职人员
dividend n.红利，股息；被除数
charter n.宪章；特许状；（飞机、船等的）租赁
hut n.棚屋
counter v.反驳；抵消
discriminate v.区别，辨别；歧视
adult n.成年人；成年动物
underlying adj.含蓄的；潜在的；根本的；在下面的
warmth n.温暖；热情，友情
amid prep.在…过程中；在…中间
forge v.伪造；努力缔造；锻造；稳步前进
cigaret n.香烟
garment n.（一件）衣服
advent n.来临，到来
choice n.选择；选择权；被选中的人或物；可选的范围
harm n.伤害；损害
irrigate v.灌溉；冲洗
reconcile v.使和谐一致；使和解；将就
bait n.鱼饵；诱饵
movement n.移动；运转；运动；行踪
ballet n.芭蕾
playground n.游戏场；操场
lottery n.彩票抽奖；碰运气的事
interest n.兴趣；趣味；利益；利息
slippery adj.滑的；狡猾的
doctrine n.教义；信条；学说
poisonous adj.有毒的；令人厌恶的
apt adj.恰当的，有…倾向的，聪明的
someone pron.某人
bully v.恐吓，欺负
buy v.买；收买；相信
inferior adj.级别低的；下级的；次等的
fluctuate v.波动；起伏不定
shade n.阴凉处；色调；阴影；细微差别；略微
ill adj.不舒服的，患病的；有害的
introduce v.介绍；引进；使初次了解；推行
consecutive adj.连续的，连贯的
evidence n.根据；证据；迹象
dictation n.听写；口述
understand v.理解；谅解；得知
automation n.自动化
minority n.少数
ornament n.装饰品；首饰；增添光彩的品质
drama n.戏剧，话剧；戏剧效果
stock n.库存；股份；资本；牲畜；高汤
proper adj.恰当的；名副其实的
rat n.老鼠
discretion n.审慎；自行决定权
vivid adj.清晰的，生动的；鲜艳的
migrate v.迁徙；转移；移居
occupy v.占据；居住；占领；忙于做…；老想着…
many adj.许多的，大量的
stretch v.撑大；有弹性；绷紧；伸展；伸手够；延续；使竭尽全力；滥用
partner n.合伙人；搭档；同伴；配偶
accommodate v.容纳；适应；提供住宿；迎合
albeit conj.尽管，虽然
hospitality n.殷勤款待，好客
currency n.通货，货币；流通
double adj.两倍的；成双的；双重的
teenager n.青少年
goal n.目标；球门；进球得分
ourselves pron.我们自己
lucky adj.幸运的，吉祥的
complex adj.复杂的；难懂的；由许多部分组成的
crystal n.水晶；晶体
knock n.撞击，敲击（声）
vitamin n.维生素
fantasy n.幻想（作品）；想象（力）
couple n.情侣，夫妇；一些；一对（人）
hollow adj.中空的；凹陷的；空想的；虚伪的；无价值的
radioactive adj.放射性的
resemblance n.相像，相似
retort v.反驳，回嘴
element n.要素；元素；少量；基本部分；恶劣天气
outside adj.外部的；外面的；外来的
increasingly adv.不断增加地
optional adj.可以任选的；非强制的
sharp adj.锋利的；（变化）急剧的；剧烈的；（语言）尖刻的；敏锐的
else adj.其他的
knot n.（毛发的）团；节疤；痉挛；节（速度单位）
preparation n.准备
attitude n.态度；看法；我行我素的作派
banana n.香蕉
mountain n.山，山岳；许多
contract n.合同；契约；合同法
precious adj.珍奇的；宝贵的
decimal n.小数
ham n.火腿
drawer n.抽屉
root n.根；起源；根源
rescue n.解救，救援；营救行动
classify v.分类，归类；界定
begin v.开始，着手；起始于
preferable adj.更可取的，更适合的
saucer n.茶托，碟子
return n.返回；归还；恢复；收益；往返（票）
earn v.赢得，赚得
hobby n.业余爱好
ours pron.（属于）我们的
flavor n.味道；特点
noisy adj.吵闹的，嘈杂的
telephone n.电话
suggest v.建议；表明；暗示
contingent adj.依情况而定的
elbow v.用肘推，用肘挤
treat n.款待，乐趣
realistic adj.现实的；明智的；可实现的；逼真的
scold v.责骂，数落
stationery n.文具；信笺，信纸
policy n.政策，方针；保单
prone adj.易于遭受…的；有做…倾向的；俯卧的
quality n.质量；优质；特征；个人品质
scope n.范围；机会
display v.陈列；显示
illusion n.幻想；错觉
trademark n.商标；特征
rock n.岩石；摇滚乐
lazy adj.懒惰的；无精打采的；慢吞吞的
remember v.记得；想起；纪念
pine n.松树；松木
walk n.步行，散步；步态；小路
lesson n.（一节）课；经验，教训
load v.装载，装填，大量给予
courtesy n.礼貌；客气
waist n.腰，腰部
stack n.一叠，一摞；大量；（工厂）烟囱
battery n.电池；一组；一批
between prep.在…之间；往返
vacation n.假期；休庭期
anyway adv.反正；无论如何；尽管
certificate n.证明，证书；结业证书
room n.房间；空间；机会
party n.聚会；政党；群；一方
top adj.顶端的；最好的
valve n.阀门；（心脏的）瓣膜
agenda n.日程表；潜在意图（或目的）
she pron.她
clothes n.衣服；服装
enroll v.登记；注册；使加入
psychiatry n.精神病学；精神病治疗法
transmit v.传送；播送；传播，传染
mechanical adj.机械（有关）的；呆板的
constant adj.连续不断的；恒定的
rush v.迅速移动；仓促行事；迅速运送；冲向
tomorrow adv.在明天；在将来
link n.关联；环节；沟通的纽带
gratitude n.感激，感谢
confidential adj.秘密的；机密的
absurd adj.荒谬的，不合理的，可笑的
subscribe v.订阅；定期赞助；签署；报名
prove v.证明，证实
conspiracy n.共谋；阴谋
artist n.艺术家
primitive adj.远古的；落后的；原始本能的
particle n.颗粒；粒子
her pron.她；她的
generation n.一代，一辈；（尤指电、热等）产生
agent n.代理人；经纪人；特工；（化学）剂
shepherd n.牧民；牧羊人
loaf n.（一）条（面包）
quantify v.量化
certain adj.确定的，无疑的，肯定的；某（事、人等）
hawk n.鹰；隼；鹰派人物
namely adv.即，也就是
extensive adj.广阔的；广泛的；巨大的
communism n.共产主义
news n.新闻；消息
cardinal adj.基本的，最重要的
extraordinary adj.非凡的；卓越的
cling v.坚持；抓紧；附着；依恋
royal adj.王室的；皇家的；高贵的
van n.（中小型）货车；行李车厢
guitar n.吉他
forever adv.永远地；没完没了地
ballot n.无记名投票；投票（总数）
describe v.描述；形容
old adj.年老的；过时的；古老的；破旧的
cut v.切割；切下；切分；削减；删减
adverse adj.不利的，有害的
erase v.消除，抹掉；擦掉；删除
bulb n.电灯泡；（植物的）鳞茎
private adj.私有的，私人的；私营的；单独的
deadline n.最终期限；截止日期
limp n.跛行
constitution n.宪法；构造；组成；体质
above adv.在（或向）上面；超出
stain v.弄脏；给…染色；败坏（名声）
laugh n.笑（声）；引人发笑的人或事
toe n.脚趾，足尖
harsh adj.残酷的；严厉的；刺耳的；恶劣的；刺激性强的
workout n.锻炼，练习
bitter adj.苦味的；痛苦的；愤愤不平的；严寒的
direction n.方向；趋势；指导
coincide v.同时发生；（意见等）相同；重叠
truck n.卡车；货运车厢
flame n.火焰；橘红色；激情
include v.包括；使成为…的一部分
patron n.赞助人；常客
aircraft n.航空器，飞机
cry n.哭；喊叫；公众呼声
velocity n.速度，速率
wear n.衣着；耐用性；磨损
elicit v.引出；探出；诱出
blog n.博客
snack n.快餐；小吃
legitimate adj.合法的，正当的，合乎法律规定的
digest v.消化；理解，领悟
endurance n.耐久力，忍耐力
assembly n.议会；集会；组装
spouse n.配偶
fragment n.碎片；片段
gear n.齿轮；（汽车的）档位；设备
face n.脸，面部表情；表面；表盘；特征
line n.线；徘，列；界线；队列
be v.是；有；存在；位于；前往
republican n.共和党人
coal n.煤（块）
brave adj.勇敢的；无畏的
precaution n.预防措施；防备
recite v.背诵；朗诵；详述
attorney n.律师，代理人
